PARTNUMBER,ALTERNATEPARTNUMBER,CONDITIONCD,DESCRIPTION,QUANTITY,UNITOFMEASURE,PARTCATEGORY
54,,NS,NAME PLATE,5,EA,
01-20068A,,NS,TRANSPONDER,1,EA,
0103967-3,,NS,BRACKET,13,EA,
0130-9,,NS,PACKING,91,EA,
0140-02-12-32,,NS,FLEX JOINT,2,EA,
02-1019,,NS,BOLT IMPELLOR,1,EA,
02-10350,,NS,COVER,1,EA,
02-10530,,NS,RETAINER,1,EA,
02-10531,,NS,HOUSING,1,EA,
02-10532,,NS,HOUSING,1,EA,
02-353,,NS,SHELFMAIN DRIVE,1,EA,
02-716,,NS,BEARING,1,EA,
02-717,,NS,BEARING,1,EA,
02-722,,NS,SHAFT SHEAR,1,EA,
02-726,,NS,SHAFT,1,EA,
02-729,,NS,BEARING,1,EA,
02-730,,NS,GEAR,1,EA,
02-731,,NS,GEAR,1,EA,
02-732,,NS,PLATE IMPELLOR,1,EA,
02-733,,NS,IMPELLOR BOOST,1,EA,
02-734,,NS,WASHERS,1,EA,
02-741,,NS,VALVE,2,EA,
02-742,,NS,RETAINER VALVE,1,EA,
02-816,,NS,SPRING,20,EA,
02-898,,NS,RETAINER,1,EA,
02-934,,NS,FRONT COVER,1,EA,
02-935,,NS,FRONT GEAR,1,EA,
02-936,,NS,BEARING,1,EA,
02-937,,NS,BEARING,1,EA,
02-938,,NS,BEARING,1,EA,
02-939,,NS,BEARING,1,EA,
02-940,,NS,BEARING DRIVEN,1,EA,
02-941,,NS,BEARING DRIVEN,1,EA,
02-942,,NS,GEAR DRIVE,2,EA,
02-943,,NS,GEAR DRIVE,1,EA,
02-944,,NS,GEAR DRIVE,1,EA,
02-945,,NS,COVER,1,EA,
02-953,,NS,GASKET,2,EA,
022664-021-3,,NS,FUEL PUMP,1,EA,
03104-723734-101,,NS,BRACKET,1,EA,
04-110-0375,,NS,BEARING SLEEVE,6,EA,
047-250MCP,,NS,ROLL PIN,2,EA,
0470188MCP,,NS,PIN,2,EA,
05-030-246-21,,NS,SEAL,4,EA,
05-101001,,NS,DEFLECTOR,44,EA,
05-374093,,NS,WASHER,198,EA,
05-631122,,NS,SLEEVING,20,EA,
05-631123,,NS,SLEEVING,12,EA,
05-700352,,NS,NUT,59,EA,
062X0250MCP,,NS,PIN,12,EA,
0641-1-2031,,NS,FITTING,180,EA,
0707-29-1,,NS,SPACER,4,EA,
076-02138-0001,,NS,FITTING,1,EA,
08101-1,,NS,VALVE,1,EA,
092-000-001,,NS,GAS TURBINE,1,EA,
1-1167-18,,NS,RETAINER,2,EA,
1-1167-19,,NS,SPRING,2,EA,
1-1167-21,,NS,STUD,2,EA,
1-1167-26,,NS,HOUSING ASSY,2,EA,
1-1167-28,,NS,PIN,4,EA,
1-1167-3,,NS,HYDRAULIC ACTUATOR,3,EA,
1-1167-3-5,,NS,BODY ASSY,2,EA,
1-1167-32,,NS,RESET,2,EA,
1-1167-34,,NS,MAGNET,2,EA,
1-1167-36,,NS,WASHER,14,EA,
1-1167-4,,NS,SUMP CAP,20,EA,NR25
1-1167-602,,NS,SUMP ASSY,3,EA,
1-1167-7,,NS,SUMP ASSY,13,EA,
1-300-151-01,,NS,SEAL,1,EA,
1/4SCX1/4,,NS,CAP,1000,EA,
10-0016-1,,NS,SWITCH,7,EA,
10-0018,,NS,KNOB FRICTION,12,EA,
10-0021,,AR,KNOB ASSY,8,EA,
10-0022,,SV,KNOB ASSY,7,EA,
10-0026,,NS,CLUTCH FACE,8,EA,
10-0027,,NS,KNOB,7,EA,
10-0030,,NS,BEARING,22,EA,
10-0030-1,,NS,BEARING,69,EA,
10-0035,,NS,FLANGE,27,EA,
10-0036,,NS,BEARING,54,EA,
10-0041,,NS,PLATE,15,EA,
10-0042,,NS,BEARING,23,EA,
10-0044,,NS,BRACKET,8,EA,
